ID,year,maxtemperature,mintemperature,precipitation,evapotranspiration,radiation,pressure,rainfall59,rainfall410,ET59,ET410,Maxtem59,Maxtem410,Mintem59,Mintem410,Radiation59,Radiation410,Pressure59,Pressure410,AnnMact,MeDS,MeWS,MxDS,MxWS,RD,RI,Extraction,recharge
ID,year,18.125,8.4,937.9,1316,14.66666667,11.86666667,589.8,705.9,240.2,444.2,13.88,15.21428571,6.22,6.871428571,8.5,10.24285714,10.32,10.85714286,2.238356164,4.543478261,3.319148936,38,10,156,5.799358974,17.545705,0.65999985
ID,year,18.43333333,9.025,1081.7,1383.4,14.54166667,11.95833333,610.7,867.5,260.6,474.4,14.06,15.34285714,6.22,7.128571429,8.78,10.32857143,10.24,10.81428571,2.194520548,3.903846154,3.056603774,21,13,162,6.47654321,18.038055,0.51000023
ID,year,18.98333333,8.316666667,695.8,1449.2,15.15,11.75,425.7,549.2,302.6,527.8,14.98,16.22857143,5.88,6.557142857,9.3,11.04285714,10.34,10.67142857,2.224590164,6.58974359,2.868421053,33,19,109,6.103669725,18.992127,0.55999947
ID,year,18.93333333,9.05,961.1,1401.8,14.65,12.125,557,732.2,257.6,455,14.62,15.9,6.32,7.242857143,9,10.41428571,10.62,11.25714286,2.138630137,3.583333333,2.5,12,11,150,6.211333333,20.592101,0.55000114
ID,year,18.75833333,9.316666667,880.8,1342,14.81666667,12.55833333,510.8,689,249,412,14.5,15.44285714,6.52,7.4,9.1,10.11428571,10.9,11.45714286,2.280273973,3.896551724,2.438596491,47,9,139,6.110791367,23.260042,0.35000038
ID,year,18.78333333,9.141666667,978,1350.6,14.575,12.28333333,556.8,775.5,290.4,469.6,15.06,15.87142857,7.28,7.814285714,8.64,9.785714286,11.08,11.42857143,2.252876712,3.719298246,2.732142857,17,11,153,6.238562092,24.580528,0.53999901
ID,year,18.16666667,8.633333333,805.4,1355.4,14.9,12.025,452.5,597.8,270.4,463.2,14.18,15.1,6.28,6.814285714,8.66,10.44285714,10.4,10.77142857,2.32295082,3.86440678,2.379310345,15,9,138,5.592753623,25.68394,0.50499916
ID,year,18.40833333,8.291666667,772.1,1370.6,14.99166667,11.95,453.9,548.2,281.4,471.2,14.26,15.37142857,5.8,6.5,9.04,10.45714286,10.26,10.84285714,2.344109589,4.326923077,2.745098039,20,8,140,5.295,26.837247,0.46999931
ID,year,18.2,8.45,694,1308,14.51666667,11.875,458.7,542,263.6,467.2,14.44,15.68571429,6.42,6.871428571,8.74,10.35714286,10.74,11.04285714,2.227123288,4.538461538,2.529411765,19,16,129,5.113178295,27.932076,0.48000145
ID,year,18.65833333,8.816666667,863.4,1264.4,14.54166667,12.15,569.2,713.3,257,433,14.44,15.45714286,6.46,6.971428571,8.6,10.18571429,10.64,10.97142857,2.251506849,3.783333333,2.338983051,19,9,138,6.070289855,29.841266,0.80999947
ID,year,19.19166667,9.05,717.2,1353.4,15.16666667,11.83333333,436,621.4,277.6,498,15.36,16.65714286,7.5,7.971428571,9.16,10.97142857,10.98,11.44285714,2.172677596,4.277777778,2.547169811,21,8,135,5.106666667,31.493289,0.38999939
ID,year,19.05833333,9.266666667,928.1,1326.4,14.81666667,12.20833333,683.7,770.8,282.6,494.8,14.86,16.12857143,6.86,7.414285714,9.1,10.77142857,10.5,11.04285714,2.212328767,4.568627451,2.64,14,13,132,6.766666667,32.869045,1.289999
ID,year,19.225,8.666666667,593.7,1359.2,15.35833333,11.35,332.1,465.4,263.6,455.4,14.58,15.71428571,5.78,6.585714286,9.46,10.87142857,9.86,10.31428571,2.100547945,5.204081633,2.291666667,23,7,110,5.119090909,34.238792,0.25
ID,year,18.63333333,8.958333333,963.2,1221.6,14.575,11.84166667,554.1,634.5,249.2,407,14.56,15.32857143,6.82,7.171428571,9,10.58571429,10.8,11.02857143,2.126849315,4.529411765,2.62745098,21,8,134,6.934328358,36.293331,1.0900002
ID,year,18.275,8.925,918.5,1194.2,14.73333333,11.76666667,586,665.7,232.6,421.2,14.38,15.61428571,6.7,7.242857143,8.6,10.57142857,10.36,10.8,2.178688525,4.109090909,2.545454545,13,14,140,6.296428571,38.084774,0.80999947
